Code ,ICD-10 Diagnosis Description
F13.26,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced persisting amnestic disorder"
F13.27,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced persisting dementia"
F13.280,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced anxiety disorder"
F13.281,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced sexual dysfunction"
F13.282,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced sleep disorder"
F13.288,"Sedative, hypnotic or anxiolytic dependence with other sedative, hypnotic or anxiolytic-induced disorder"
F13.29,"Sedative, hypnotic or anxiolytic dependence with unspecified sedative, hypnotic or anxiolytic-induced disorder"
F13.921,"Sedative, hypnotic or anxiolytic use, unspecified with intoxication delirium "
F13.931,"Sedative, hypnotic or anxiolytic use, unspecified with withdrawal delirium "
F13.932,"Sedative, hypnotic or anxiolytic use, unspecified with withdrawal with perceptual disturbances"
F13.94,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced mood disorder"
F13.950,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced psychotic disorder with delusions"
F13.951,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced psychotic disorder with hallucinations"
F13.959,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced psychotic disorder unspecified"
F13.96,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced persisting amnestic disorder"
F13.97,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced persisting dementia"
F13.980,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced anxiety disorder"
F13.981,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced sexual dysfunction"
F13.982,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced sleep disorder"
F13.988,"Sedative, hypnotic or anxiolytic use, unspecified with other sedative, hypnotic or anxiolytic-induced disorder"
F14.121,Cocaine abuse with intoxication with delirium 
F14.122,Cocaine abuse with intoxication with perceptual disturbance 
F14.14,Cocaine abuse with cocaine-induced mood disorder 
F14.150,Cocaine abuse with cocaine-induced psychotic disorder with delusions 
F14.151,Cocaine abuse with cocaine-induced psychotic disorder with hallucinations 
F14.159,"Cocaine abuse with cocaine-induced psychotic disorder, unspecified "
F14.180,Cocaine abuse with cocaine-induced anxiety disorder 
F14.181,Cocaine abuse with cocaine-induced sexual dysfunction 
F14.182,Cocaine abuse with cocaine-induced sleep disorder 
F14.188,Cocaine abuse with other cocaine-induced disorder 
F14.19,Cocaine abuse with unspecified cocaine-induced disorder 
F14.221,Cocaine dependence with intoxication delirium 
F14.222,Cocaine dependence with intoxication with perceptual disturbance 
F14.24,Cocaine dependence with cocaine-induced mood disorder 
F14.250,Cocaine dependence with cocaine-induced psychotic disorder with delusions 
F14.251,Cocaine dependence with cocaine-induced psychotic disorder with hallucinations 
F14.259,"Cocaine dependence with cocaine-induced psychotic disorder, unspecified "
F14.280,Cocaine dependence with cocaine-induced anxiety disorder 
F14.281,Cocaine dependence with cocaine-induced sexual dysfunction 
F14.282,Cocaine dependence with cocaine-induced sleep disorder 
F14.288,Cocaine dependence with other cocaine-induced disorder 
F14.29,Cocaine dependence with unspecified cocaine-induced disorder 
F14.921,"Cocaine use, unspecified with intoxication delirium "
F14.922,"Cocaine use, unspecified with intoxication with perceptual disturbance "
F14.94,"Cocaine use, unspecified with cocaine-induced mood disorder "
F14.950,"Cocaine use, unspecified with cocaine-induced psychotic disorder with delusions "
F14.951,"Cocaine use, unspecified with cocaine-induced psychotic disorder with hallucinations"
F14.959,"Cocaine use, unspecified with cocaine-induced psychotic disorder, unspecified "
F14.980,"Cocaine use, unspecified with cocaine-induced anxiety disorder "
F14.981,"Cocaine use, unspecified with cocaine-induced sexual dysfunction "
F14.982,"Cocaine use, unspecified with cocaine-induced sleep disorder "
F14.988,"Cocaine use, unspecified with other cocaine-induced disorder "
F15.121,Other stimulant abuse with intoxication delirium 
F15.122,Other stimulant abuse with intoxication with perceptual disturbance 
F15.14,Other stimulant abuse with stimulant-induced mood disorder 
F15.150,Other stimulant abuse with stimulant-induced psychotic disorder with delusions 
F15.151,Other stimulant abuse with stimulant-induced psychotic disorder with hallucinations
F15.159,"Other stimulant abuse with stimulant-induced psychotic disorder, unspecified "
F15.180,Other stimulant abuse with stimulant-induced anxiety disorder 
F15.181,Other stimulant abuse with stimulant-induced sexual dysfunction 
F15.182,Other stimulant abuse with stimulant-induced sleep disorder 
F15.188,Other stimulant abuse with other stimulant-induced disorder 
F15.19,Other stimulant abuse with unspecified stimulant-induced disorder 
F15.221,Other stimulant dependence with intoxication delirium 
F15.222,Other stimulant dependence with intoxication with perceptual disturbance 
F15.24,Other stimulant dependence with stimulant-induced mood disorder 
F15.250,Other stimulant dependence with stimulant-induced psychotic disorder with delusions
F15.251,Other stimulant dependence with stimulant-induced psychotic disorder with hallucinations
F15.259,"Other stimulant dependence with stimulant-induced psychotic disorder, unspecified"
F15.280,Other stimulant dependence with stimulant-induced anxiety disorder 
F15.281,Other stimulant dependence with stimulant-induced sexual dysfunction 
F15.282,Other stimulant dependence with stimulant-induced sleep disorder 
F15.288,Other stimulant dependence with other stimulant-induced disorder 
F15.29,Other stimulant dependence with unspecified stimulant-induced disorder 
F15.921,"Other stimulant use, unspecified with intoxication delirium "
F15.922,"Other stimulant use, unspecified with intoxication with perceptual disturbance "
F15.94,"Other stimulant use, unspecified with stimulant-induced mood disorder "
F15.950,"Other stimulant use, unspecified with stimulant-induced psychotic disorder with delusions "
F15.951,"Other stimulant use, unspecified with stimulant-induced psychotic disorder with hallucinations"
F15.959,"Other stimulant use, unspecified with stimulant-induced psychotic disorder, unspecified"
F15.980,"Other stimulant use, unspecified with stimulant-induced anxiety disorder "
F15.981,"Other stimulant use, unspecified with stimulant-induced sexual dysfunction "
F15.982,"Other stimulant use, unspecified with stimulant-induced sleep disorder "
F15.988,"Other stimulant use, unspecified with other stimulant-induced disorder "
F16.121,Hallucinogen abuse with intoxication with delirium 
F16.122,Hallucinogen abuse with intoxication with perceptual disturbance 
F16.14,Hallucinogen abuse with hallucinogen-induced mood disorder 
F16.150,Hallucinogen abuse with hallucinogen-induced psychotic disorder with delusions 
F16.151,Hallucinogen abuse with hallucinogen-induced psychotic disorder with hallucinations
F16.159,"Hallucinogen abuse with hallucinogen-induced psychotic disorder, unspecified "
F16.180,Hallucinogen abuse with hallucinogen-induced anxiety disorder 
F16.183,Hallucinogen abuse with hallucinogen persisting perception disorder (flashbacks) 
F16.188,Hallucinogen abuse with other hallucinogen-induced disorder 
F16.19,Hallucinogen abuse with unspecified hallucinogen-induced disorder 
F16.221,Hallucinogen dependence with intoxication with delirium 
F16.24,Hallucinogen dependence with hallucinogen-induced mood disorder 
F16.250,Hallucinogen dependence with hallucinogen-induced psychotic disorder with delusions
F16.251,Hallucinogen dependence with hallucinogen-induced psychotic disorder with hallucinations
F16.259,"Hallucinogen dependence with hallucinogen-induced psychotic disorder, unspecified"
F16.280,Hallucinogen dependence with hallucinogen-induced anxiety disorder 
F16.283,Hallucinogen dependence with hallucinogen persisting perception disorder (flashbacks)
F16.288,Hallucinogen dependence with other hallucinogen-induced disorder 
F16.29,Hallucinogen dependence with unspecified hallucinogen-induced disorder 
F16.921,"Hallucinogen use, unspecified with intoxication with delirium "
F16.94,"Hallucinogen use, unspecified with hallucinogen-induced mood disorder "
F16.950,"Hallucinogen use, unspecified with hallucinogen-induced psychotic disorder with delusions"
F16.951,"Hallucinogen use, unspecified with hallucinogen-induced psychotic disorder with hallucinations"
F16.959,"Hallucinogen use, unspecified with hallucinogen-induced psychotic disorder, unspecified"
F16.980,"Hallucinogen use, unspecified with hallucinogen-induced anxiety disorder "
F16.983,"Hallucinogen use, unspecified with hallucinogen persisting perception disorder (flashbacks)"
F16.988,"Hallucinogen use, unspecified with other hallucinogen-induced disorder "
F18.121,Inhalant abuse with intoxication delirium 
F18.14,Inhalant abuse with inhalant-induced mood disorder 
F18.150,Inhalant abuse with inhalant-induced psychotic disorder with delusions 
F18.151,Inhalant abuse with inhalant-induced psychotic disorder with hallucinations 
F18.159,"Inhalant abuse with inhalant-induced psychotic disorder, unspecified "
F18.17,Inhalant abuse with inhalant-induced dementia 
F18.180,Inhalant abuse with inhalant-induced anxiety disorder 
F18.188,Inhalant abuse with other inhalant-induced disorder 
F18.19,Inhalant abuse with unspecified inhalant-induced disorder 
F18.221,Inhalant dependence with intoxication delirium 
F18.24,Inhalant dependence with inhalant-induced mood disorder 
F18.250,Inhalant dependence with inhalant-induced psychotic disorder with delusions 
F18.251,Inhalant dependence with inhalant-induced psychotic disorder with hallucinations 
F18.259,"Inhalant dependence with inhalant-induced psychotic disorder, unspecified "
F18.27,Inhalant dependence with inhalant-induced dementia 
F18.280,Inhalant dependence with inhalant-induced anxiety disorder 
F18.921,"Inhalant use, unspecified with intoxication with delirium "
F18.94,"Inhalant use, unspecified with inhalant-induced mood disorder "
F18.950,"Inhalant use, unspecified with inhalant-induced psychotic disorder with delusions "
F18.951,"Inhalant use, unspecified with inhalant-induced psychotic disorder with hallucinations"
F18.959,"Inhalant use, unspecified with inhalant-induced psychotic disorder, unspecified "
F18.97,"Inhalant use, unspecified with inhalant-induced persisting dementia "
F18.980,"Inhalant use, unspecified with inhalant-induced anxiety disorder "
F19.121,Other psychoactive substance abuse with intoxication delirium 
F19.122,Other psychoactive substance abuse with intoxication with perceptual disturbances
F19.14,Other psychoactive substance abuse with psychoactive substance-induced mood disorder
F19.150,Other psychoactive substance abuse with psychoactive substance-induced psychotic disorder with delusions
F19.151,Other psychoactive substance abuse with psychoactive substance-induced psychotic disorder with hallucinations
F19.159,"Other psychoactive substance abuse with psychoactive substance-induced psychotic disorder, unspecified"
F19.16,Other psychoactive substance abuse with psychoactive substance-induced persisting amnestic disorder
F19.17,Other psychoactive substance abuse with psychoactive substance-induced persisting dementia
F19.180,Other psychoactive substance abuse with psychoactive substance-induced anxiety disorder
F19.181,Other psychoactive substance abuse with psychoactive substance-induced sexual dysfunction
F19.182,Other psychoactive substance abuse with psychoactive substance-induced sleep disorder
F19.188,Other psychoactive substance abuse with other psychoactive substance-induced disorder
F19.19,Other psychoactive substance abuse with unspecified psychoactive substance-induced disorder
F19.221,Other psychoactive substance dependence with intoxication delirium 
F19.222,Other psychoactive substance dependence with intoxication with perceptual disturbance
F19.231,Other psychoactive substance dependence with withdrawal delirium 
F19.232,Other psychoactive substance dependence with withdrawal with perceptual disturbance
F19.239,"Other psychoactive substance dependence with withdrawal, unspecified "
F19.24,Other psychoactive substance dependence with psychoactive substance-induced mood disorder
F19.250,Other psychoactive substance dependence with psychoactive substance-induced psychotic disorder with delusions
F19.251,Other psychoactive substance dependence with psychoactive substance-induced psychotic disorder with hallucinations
F19.259,"Other psychoactive substance dependence with psychoactive substance-induced psychotic disorder, unspecified"
F19.26,Other psychoactive substance dependence with psychoactive substance-induced persisting amnestic disorder
F19.27,Other psychoactive substance dependence with psychoactive substance-induced persisting amnesia
F19.280,Other psychoactive substance dependence with psychoactive substance-induced anxiety disorder
F19.281,Other psychoactive substance dependence with psychoactive substance-induced sexual dysfunction
F19.282,Other psychoactive substance dependence with psychoactive substance-induced sleep disorder
F19.288,Other psychoactive substance dependence with other psychoactive substance-induced disorder
F19.29,Other psychoactive substance dependence with unspecified psychoactive substance-induced disorder
F19.921,"Other psychoactive substance use, unspecified with intoxication with delirium "
F19.922,"Other psychoactive substance use, unspecified with intoxication with perceptual disturbance"
F19.931,"Other psychoactive substance use, unspecified with withdrawal delirium "
F19.932,"Other psychoactive substance use, unspecified with withdrawal with perceptual disturbance"
F19.94,"Other psychoactive substance use, unspecified with psychoactive substance-induced mood disorder"
F19.950,"Other psychoactive substance use, unspecified with psychoactive substance-induced psychotic disorder with delusions"
F19.951,"Other psychoactive substance use, unspecified with psychoactive substance-induced psychotic disorder with hallucinations"
F19.959,"Other psychoactive substance use, unspecified with psychoactive substance-induced psychotic disorder, unspecified"
F19.96,"Other psychoactive substance use, unspecified with psychoactive substance-induced persistent amnestic disorder"
F19.97,"Other psychoactive substance use, unspecified with psychoactive substance-including persistent dementia"
F19.980,"Other psychoactive substance use, unspecified with psychoactive substance-induced anxiety disorder"
F19.981,"Other psychoactive substance use, unspecified with psychoactive substance-induced sexual dysfunction"
F19.982,"Other psychoactive substance use, unspecified with psychoactive substance-induced sleep disorder"
F19.988,"Other psychoactive substance use, unspecified with other psychoactive substance-induced disorder"
F20.0,Paranoid schizophrenia 
F20.1,Disorganized schizophrenia 
F20.2,Catatonic schizophrenia 
F20.3,Undifferentiated schizophrenia 
F20.5,Residual schizophrenia 
F20.81,Schizophreniform disorder 
F20.89,Other schizophrenia 
F20.9,"Schizophrenia, unspecified "
F21,Schizotypal disorder 
F22,Delusional disorders 
F23,Brief psychotic disorder 
F24,Shared psychotic disorder 
F25.0,"Schizoaffective disorder, bipolar type "
F25.1,"Schizoaffective disorder, depressive type "
F25.8,Other schizoaffective disorders 
F25.9,"Schizoaffective disorder, unspecified "
F28,Other psychotic disorder not due to a substance or known physiological condition 
F29,Unspecified psychosis not due to a substance or known physiological condition 
F30.10,"Manic episode without psychotic symptoms, unspecified "
F30.11,"Manic episode without psychotic symptoms, mild "
F30.12,"Manic episode without psychotic symptoms, moderate "
F30.13,"Manic episode, severe, without psychotic symptoms "
F30.2,"Manic episode, severe with psychotic symptoms "
F30.3,Manic episode in partial remission 
F30.4,Manic episode in full remission 
F30.8,Other manic episodes 
F30.9,"Manic episode, unspecified "
F31.0,"Bipolar disorder, current episode hypomanic "
F31.10,"Bipolar disorder, current episode manic without psychotic features, unspecified "
F31.11,"Bipolar disorder, current episode manic without psychotic features, mild "
F31.12,"Bipolar disorder, current episode manic without psychotic features, moderate "
F31.13,"Bipolar disorder, current episode manic without psychotic features, severe "
F31.2,"Bipolar disorder, current episode manic severe with psychotic features "
F31.30,"Bipolar disorder, current episode depressed, mild or moderate severity, unspecified"
F31.31,"Bipolar disorder, current episode depressed, mild "
F31.32,"Bipolar disorder, current episode depressed, moderate "
F31.4,"Bipolar disorder, current episode depressed, severe, without psychotic features "
F31.5,"Bipolar disorder, current episode depressed, severe, with psychotic features "
F31.60,"Bipolar disorder, current episode mixed, unspecified "
F31.61,"Bipolar disorder, current episode mixed, mild "
F31.62,"Bipolar disorder, current episode mixed, moderate "
F31.63,"Bipolar disorder, current episode mixed, severe, without psychotic features "
F31.64,"Bipolar disorder, current episode mixed, severe, with psychotic features "
F31.70,"Bipolar disorder, currently in remission, most recent episode unspecified "
F31.71,"Bipolar disorder, in partial remission, most recent episode hypomanic "
F31.72,"Bipolar disorder, in full remission, most recent episode hypomanic "
F31.73,"Bipolar disorder, in partial remission, most recent episode manic "
F31.74,"Bipolar disorder, in full remission, most recent episode manic "
F31.75,"Bipolar disorder, in partial remission, most recent episode depressed "
F31.76,"Bipolar disorder, in full remission, most recent episode depressed "
F31.77,"Bipolar disorder, in partial remission, most recent episode mixed "
F31.78,"Bipolar disorder, in full remission, most recent episode mixed "
F31.81,Bipolar II disorder 
F31.89,Other bipolar disorder 
F31.9,"Bipolar disorder, unspecified "
F32.0,"Major depressive disorder, single episode, mild "
F32.1,"Major depressive disorder, single episode, moderate "
F32.2,"Major depressive disorder, single episode, severe without psychotic features "
F32.3,"Major depressive disorder, single episode, severe with psychotic features "
F32.4,"Major depressive disorder, single episode, in partial remission "
F32.5,"Major depressive disorder, single episode, in full remission "
F32.8,Other depressive episodes 
F32.81,Premenstrual dysphonic disorder 
F32.89,Other specified depressive episodes 
F32.9,"Major depressive disorder, single episode, unspecified "
F33.0,"Major depressive disorder, recurrent, mild "
F33.1,"Major depressive disorder, recurrent, moderate "
F33.2,"Major depressive disorder, recurrent severe without psychotic features "
F33.3,"Major depressive disorder, recurrent, severe with psychotic symptoms "
F33.40,"Major depressive disorder, recurrent, in remission, unspecified "
F33.41,"Major depressive disorder, recurrent, in partial remission "
F33.42,"Major depressive disorder, recurrent, in full remission "
F33.8,Other recurrent depressive disorders 
F33.9,"Major depressive disorder, recurrent, unspecified "
F34.0,Cyclothymic disorder 
F34.1,Dysthymic disorder 
F34.8,Other persistent mood ºaffective» disorders 
F34.81,Dispruptive mood dysregulation disorder 
F34.89,Other specified persistent mood disorders 
F34.9,"Persistent mood ºaffective» disorder, unspecified "
F39,Unspecified mood ºaffective» disorder 
F40.00,"Agoraphobia, unspecified "
F40.01,Agoraphobia with panic disorder 
F40.02,Agoraphobia without panic disorder 
F40.10,"Social phobia, unspecified "
F40.11,"Social phobia, generalized "
F40.210,Arachnophobia 
F40.218,Other animal type phobia 
F40.220,Fear of thunderstorms 
F40.228,Other natural environment type phobia 
F40.230,Fear of blood 
F40.231,Fear of injections and transfusions 
F40.232,Fear of other medical care 
F40.233,Fear of injury 
F40.240,Claustrophobia 
F40.241,Acrophobia 
F40.242,Fear of bridges 
F40.243,Fear of flying 
F40.248,Other situational type phobia 
F40.290,Androphobia 
F40.291,Gynephobia 
F40.298,Other specified phobia 
F40.8,Other phobic anxiety disorders 
F40.9,"Phobic anxiety disorder, unspecified "
F41.0,Panic Disorder (episodic paroxysmal anxiety) 
F41.0,Panic disorder ºepisodic paroxysmal anxiety» without agoraphobia 
F41.1,Generalized anxiety disorder 
F41.3,Other mixed anxiety disorders 
F41.8,Other specified anxiety disorders 
F41.9,"Anxiety disorder, unspecified "
F42,Obsessive-compulsive disorder 
F42.2,Mixed obsessional thoughts and acts 
F42.3,Hoarding disorder 
F42.4,Excoriation (skin-picking) disorder 
F42.8,Other obsessive compulsive disorder 
F43.0,Acute stress reaction 
F43.10,"Post-traumatic stress disorder, unspecified "
F43.11,"Post-traumatic stress disorder, acute "
F43.12,"Post-traumatic stress disorder, chronic "
F43.20,"Adjustment disorder, unspecified "
F43.21,Adjustment disorder with depressed mood 
F43.22,Adjustment disorder with anxiety 
F43.23,Adjustment disorder with mixed anxiety and depressed mood 
F43.24,Adjustment disorder with disturbance of conduct 
F43.25,Adjustment disorder with mixed disturbance of emotions and conduct 
F43.29,Adjustment disorder with other symptoms 
F43.8,Other reactions to severe stress 
F43.9,"Reaction to severe stress, unspecified "
F44.0,Dissociative amnesia 
F44.1,Dissociative fugue 
F44.2,Dissociative stupor 
F44.4,Conversion disorder with motor symptom or deficit 
F44.5,Conversion disorder with seizures or convulsions 
F44.6,Conversion disorder with sensory symptom or deficit 
F44.7,Conversion disorder with mixed symptom presentation 
F44.81,Dissociative identity disorder 
F44.9,"Dissociative and conversion disorder, unspecified "
F45.0,Somatization disorder 
F45.1,Undifferentiated somatoform disorder 
F45.20,"Hypochondriacal disorder, unspecified "
F45.21,Hypochondriasis 
F45.22,Body dysmorphic disorder 
F45.29,Other hypochondriacal disorders 
F45.41,Pain disorder exclusively related to psychological factors 
F45.42,Pain disorder with related psychological factors 
F45.8,Other somatoform disorders 
F45.9,"Somatoform disorder, unspecified "
F48.1,Depersonalization-derealization syndrome 
F48.2,Pseudobulbar affect 
F48.9,"Nonpsychotic mental disorder, unspecified "
F50.00,"Anorexia nervosa, unspecified "
F50.01,"Anorexia nervosa, restricting type "
F50.02,"Anorexia nervosa, binge eating/purging type "
F50.2,Bulimia nervosa 
